state,lat,lng,total,recover,death
Andhra Pradesh,15.9129,79.74,38044,19393,492
Arunachal Pradesh,28.218,94.7278,543,153,3
Assam,26.2006,92.9376,20646,0,50
Bihar,25.0961,85.3131,21864,14018,197
Chattisgarh,21.2787,81.8661,4732,3451,21
Goa,15.2993,74.124,3108,1817,19
Gujarat,22.2587,71.1924,45481,32103,2089
Haryana,29.0588,76.0856,4002,18185,322
Himachal Pradesh,31.1048,77.1734,1377,984,11
Jharkhand,23.6102,85.2799,4624,2513,42
Karnataka,15.3173,75.7139,51422,9729,1032
Kerala,10.8505,76.2711,10275,4862,37
Madhya Pradesh,22.9734,78.6569,20378,14127,689
Maharashtra,19.7515,75.7139,284000,158000,11194
Manipur,24.6637,93.9063,1764,1129,0
Meghalaya,25.467,91.3662,377,66,2
Mizoram,23.1645,92.9376,272,160,0
Nagaland,26.1584,94.5624,916,391,0
Odisha,20.9517,85.0985,16110,0,83
Punjab,31.1471,75.3412,9094,6277,230
Rajasthan,27.0238,74.2179,7174,9970,538
Sikkim,27.533,88.5122,243,88,0
Tamil Nadu,11.1271,78.6569,156000,107000,2236
Telegana,18.1124,79.0193,41018,27295,396
Tripura,23.9408,91.9882,2283,1604,3
Uttar Pradesh,26.8467,80.9462,43441,26675,1046
Uttarakhand,30.0668,79.0193,3982,2995,50
West Bengal,22.9868,87.855,36117,21415,1023
Andaman and Nicobar,11.7401,92.6586,180,133,0
Chandigarh,30.7333,76.7794,651,476,11
Daman and Diu,20.4283,72.8397,592,183,407
Jammu and Kashmir,33.7782,76.5762,12156,6446,222
Ladakh,34.152588,77.577049,1147,970,1
Lakshadweep,13.7,72.1833,0,0,0
Puducherry,11.9416,79.8083,1743,947,22
